generation_biomass,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_poundage,generation_hydro_water reservoir,generation_marine,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,price_actual,total_renewable_energy
431,0,325,1424,4429,0,71,2488,202,0,7874,68.77,17244
425,0,409,1417,4309,0,64,3218,202,0,8192,68.82,18236
427,0,1095,1390,3784,0,64,3695,208,0,8718,68.23,19381
421,0,1750,1285,3709,0,64,3780,210,0,9152,67.97,20371
410,0,2141,1277,3320,0,62,3370,202,0,9382,62.76,20164
397,0,2175,1279,3919,0,61,2692,200,0,9307,62.03,20030
393,0,1936,1302,4256,0,59,1931,201,0,8892,66.69,18970
418,0,1271,1478,4812,0,62,1015,212,0,8568,71.5,17836
458,0,129,1544,5753,0,66,502,222,0,9005,72.14,17679
462,0,0,1583,5946,0,67,355,221,0,9672,72.45,18306
462,0,0,1572,5985,0,69,291,221,0,10081,72.86,18681
463,0,117,1546,5519,0,71,207,219,0,10537,70.1,18679
456,0,587,1502,4505,0,70,117,217,0,10953,67.62,18407
391,0,1045,1502,1991,0,58,692,162,0,8540,55.22,14381
351,0,1257,1494,1867,0,58,684,160,0,8080,50.54,13951
350,0,1629,1484,1414,0,57,648,161,0,7773,48.68,13516
366,0,1962,1472,1355,0,56,640,162,0,7601,48.02,13614
377,0,2185,1438,1431,0,56,563,161,0,7584,47.06,13795
372,0,1795,1457,1534,0,58,372,157,0,7812,46.79,13557
377,0,1341,1352,2284,0,54,179,155,0,7950,47.63,13692
396,0,378,1433,3188,0,56,129,156,0,8228,47.44,13964
415,0,0,1561,3521,0,53,357,156,0,8341,50.84,14404
418,0,0,1573,4286,0,54,1634,159,0,8569,54.84,16693
402,0,17,1451,3921,0,55,3830,162,0,8433,59.95,18271
411,0,119,1519,4023,0,60,4937,161,0,8001,59.35,19231
403,0,72,1533,3997,0,57,5302,165,0,7520,57.03,19049
407,0,69,1591,3760,0,58,5590,158,0,7274,59.22,18907
393,0,69,1529,3077,0,60,5668,150,0,6878,58.56,17824
400,0,69,1495,2602,0,59,5593,149,0,7517,52.07,17884
397,0,112,1459,2553,0,57,5316,147,0,7999,52.15,18040
393,0,251,1435,2925,0,59,4907,152,0,8181,61.12,18303
402,0,506,1435,3446,0,61,4200,153,0,8260,71.98,18463
409,0,789,1458,4365,0,59,2911,150,0,8156,74.64,18297
438,0,416,1538,5936,0,59,1392,170,0,8347,75.38,18296
436,0,0,1616,5856,0,57,748,177,0,8875,76.49,17765
424,0,0,1594,4684,0,59,696,174,0,8922,73.83,16553
403,0,79,1467,3776,0,59,672,166,0,8735,69.51,15357
373,0,650,1182,2086,0,72,691,158,0,7351,70.77,12563
363,0,938,1099,2458,0,74,668,153,0,7403,64.89,13156
359,0,1021,1076,2140,0,75,662,156,0,7887,60.91,13376
334,0,2067,982,2531,0,71,570,155,0,8348,58.04,15058
338,0,2228,969,2439,0,72,428,153,0,8526,59.57,15153
341,0,2365,967,2583,0,73,243,152,0,8518,69.73,15242
343,0,2321,1087,2740,0,74,155,143,0,8263,72.97,15126
345,0,2071,1110,2480,0,74,500,143,0,8326,77.92,15049
369,0,1465,1168,2575,0,76,1333,140,0,8046,79.59,15172
374,0,1216,1207,2286,0,74,2482,140,0,8439,81.75,16218
376,0,1166,1206,2209,0,74,3339,155,0,9131,80.82,17656
370,0,1242,1219,2156,0,71,2944,148,0,7431,89.08,15581
375,0,651,1260,1843,0,75,1971,147,0,6570,90.97,12892
371,0,108,1308,2291,0,73,958,153,0,5549,88.51,10811
370,0,0,1328,3732,0,74,605,161,0,4979,82.85,11249
362,0,45,1328,3613,0,75,518,161,0,4822,80.52,10924
370,0,193,1318,3044,0,72,394,158,0,4982,72.18,10531
535,0,99,767,1218,0,66,626,212,0,4052,71.48,7575
532,0,693,737,1620,0,63,624,208,0,3832,64.76,8309
530,0,1000,728,1862,0,63,616,204,0,3398,60.22,8401
532,0,1053,727,1834,0,65,582,206,0,3003,57.14,8002
541,0,1052,727,1758,0,66,576,206,0,2569,53.94,7495
545,0,1016,720,1793,0,64,499,204,0,2380,53.43,7221
540,0,323,720,1435,0,63,415,202,0,2196,56.68,5894
546,0,17,779,2369,0,63,412,184,0,1701,63.49,6071
546,0,0,842,3860,0,63,1168,196,0,1102,66.75,7777
544,0,0,852,4119,0,64,3018,262,0,682,73.07,9541
543,0,0,895,4449,0,64,4129,268,0,470,78.95,10818
539,0,0,899,4584,0,63,4642,260,0,472,75.91,11459
547,0,0,898,4579,0,62,4976,259,0,683,73.12,12004
538,0,0,901,4335,0,61,5044,260,0,1041,68.02,12180
534,0,0,857,4167,0,68,4887,258,0,1652,66.67,12423
537,0,0,813,3084,0,69,4641,254,0,2761,65.08,12159
537,0,95,825,3290,0,66,4279,251,0,3277,66.1,12620
532,0,5,823,3454,0,69,3824,252,0,3281,72,12240
533,0,0,820,3349,0,69,3132,267,0,3781,78.6,11951
528,0,0,806,3119,0,69,2383,254,0,3943,81.18,11102
536,0,0,836,3009,0,71,1586,229,0,4028,81.65,10295
535,0,0,937,3921,0,70,891,230,0,3661,78.63,10245
531,0,0,884,3834,0,72,696,231,0,3485,73.2,9733
528,0,0,863,2778,0,72,669,232,0,3276,72.46,8418
499,0,0,728,1982,0,55,1280,219,0,6210,67.24,10973
502,0,137,704,1483,0,55,1253,213,0,5993,64.17,10340
491,0,482,704,1003,0,55,1231,217,0,5529,62.12,9712
495,0,747,692,626,0,56,1223,220,0,5127,62.11,9186
503,0,845,689,563,0,55,1189,219,0,4940,60.05,9003
505,0,700,687,610,0,57,1142,220,0,4735,62.48,8656
506,0,209,706,1363,0,54,1043,220,0,4266,70.01,8367
505,0,0,761,2280,0,55,979,217,0,3849,75.2,8646
510,0,0,780,3192,0,55,1336,219,0,3369,83.3,9461
501,0,0,788,4420,0,54,2121,220,0,2959,93.14,11063
494,0,0,753,3674,0,51,2841,220,0,3226,100.45,11259
498,0,0,754,3289,0,51,3556,219,0,4273,95.17,12640
491,0,0,762,3131,0,52,3756,214,0,5914,85.23,14320
495,0,0,751,2709,0,50,3639,215,0,7320,81.5,15179
501,0,0,733,1912,0,53,4133,215,0,7837,77.29,15384
498,0,0,721,1479,0,51,4896,214,0,7890,76.61,15749
491,0,0,713,1191,0,52,4647,217,0,7996,77.15,15307
495,0,0,709,1458,0,52,4184,217,0,7955,79.51,15070
497,0,0,707,1965,0,52,3631,215,0,7582,91.05,14649
483,0,0,711,2384,0,51,2772,215,0,6821,95.29,13437
482,0,0,736,2566,0,52,2013,222,0,6198,91.25,12269
481,0,0,735,2622,0,53,1193,226,0,6139,87.08,11449
481,0,6,721,2412,0,52,636,220,0,6398,78.15,10926
479,0,137,677,1414,0,52,573,215,0,6262,75.07,9809
546,0,398,658,831,0,67,433,260,0,5908,73.73,9101
516,0,392,628,942,0,67,391,257,0,5509,70.99,8702
508,0,956,631,882,0,67,352,256,0,5204,68.3,8856
509,0,1088,634,934,0,65,328,251,0,4891,64.22,8700
518,0,1027,636,799,0,67,327,251,0,4738,63.53,8363
528,0,1348,631,781,0,66,320,249,0,4868,66.7,8791
533,0,1804,631,943,0,67,265,246,0,4809,69.79,9298
525,0,1638,629,888,0,66,223,246,0,4849,75.57,9064
529,0,508,641,1147,0,69,708,216,0,4285,82.36,8103
534,0,198,652,965,0,66,2225,214,0,3889,87.03,8743
533,0,104,664,1153,0,67,3943,226,0,3330,91.08,10020
531,0,0,689,1333,0,66,4514,232,0,2911,89.29,10276
522,0,6,717,1795,0,68,4926,254,0,2376,85.45,10664
509,0,27,715,2275,0,69,5067,237,0,1917,80.33,10816
504,0,32,717,2198,0,69,5092,234,0,1741,77.33,10587
506,0,10,694,1776,0,66,5019,232,0,1680,77.03,9983
500,0,0,667,1445,0,67,4803,225,0,1774,78.15,9481
502,0,0,654,1478,0,67,4507,223,0,2001,80.48,9432
514,0,0,640,1236,0,69,4010,228,0,2574,90.87,9271
513,0,0,645,1435,0,69,3321,227,0,3022,94.11,9232
511,0,84,683,2430,0,68,2089,224,0,3312,90.26,9401
516,0,81,722,3302,0,67,957,223,0,3478,84.66,9346
519,0,4,706,3461,0,70,721,219,0,3726,77.05,9426
515,0,0,669,2426,0,67,691,231,0,3968,73.14,8567
489,0,0,574,1930,0,66,39,273,0,3552,67.7,6923
483,0,62,553,1819,0,68,38,231,0,3334,61.05,6588
485,0,167,544,1347,0,67,37,227,0,3486,59.61,6360
477,0,557,548,943,0,67,37,224,0,3492,58.65,6345
480,0,734,548,655,0,66,36,227,0,3541,58.4,6287
482,0,753,558,682,0,66,41,226,0,3603,59.77,6411
477,0,468,559,1561,0,66,45,234,0,3952,68.38,7362
477,0,297,555,1801,0,67,58,239,0,4209,75.5,7703
495,0,43,589,1932,0,67,317,244,0,4171,81.67,7858
493,0,0,645,2736,0,67,1107,245,0,3873,85.8,9166
490,0,0,672,3238,0,68,2133,248,0,3865,92,10714
490,0,0,656,2941,0,69,3193,250,0,3802,89.66,11401
487,0,0,658,2898,0,66,3932,250,0,3676,85.5,11967
492,0,0,645,3092,0,68,4156,250,0,3620,81.22,12323
490,0,0,622,2380,0,70,4285,243,0,3774,77.08,11864
486,0,1,617,2283,0,72,4135,242,0,4045,77.33,11881
480,0,0,612,2083,0,70,3883,238,0,4345,80.09,11711
487,0,4,610,1983,0,71,3513,242,0,4914,81.64,11824
481,0,167,613,1629,0,69,3253,263,0,5564,88.51,12039
470,0,433,645,1789,0,72,2403,281,0,5966,89,12059
468,0,183,666,2676,0,72,1060,279,0,5879,87.11,11283
476,0,50,663,3161,0,71,530,278,0,5861,82.13,11090
477,0,1,651,2007,0,73,444,277,0,5431,78.39,9361
477,0,0,613,1037,0,72,386,274,0,5147,72.17,8006
537,0,321,453,2092,0,71,384,230,0,996,61.8,5084
537,0,391,448,1522,0,72,167,227,0,897,59.46,4261
544,0,472,437,787,0,69,102,221,0,934,55.97,3566
553,0,488,432,696,0,69,103,226,0,933,55.03,3500
559,0,660,429,617,0,68,102,238,0,898,54.53,3571
564,0,490,439,746,0,66,102,244,0,826,55.44,3477
561,0,150,444,1643,0,67,102,254,0,890,57.22,4111
559,0,0,446,3923,0,66,103,264,0,998,63.84,6359
566,0,0,452,4236,0,68,233,265,0,1183,71.4,7003
564,0,0,485,4410,0,68,1209,257,0,1214,74.51,8207
563,0,0,493,4438,0,66,2927,252,0,852,77.05,9591
547,0,121,475,4006,0,67,4515,254,0,828,75.49,10813
554,0,166,474,3769,0,69,5044,250,0,1346,74.23,11672
560,0,9,483,3092,0,71,5107,242,0,2139,74,11703
565,0,0,509,2314,0,73,4900,241,0,2602,72.86,11204
561,0,72,500,2074,0,76,4463,241,0,3146,69.68,11133
556,0,83,481,1941,0,72,4215,240,0,3812,68.36,11400
564,0,83,498,1661,0,76,3756,243,0,4411,71.77,11292
558,0,72,509,1422,0,75,2857,247,0,4682,77.55,10422
565,0,0,518,3529,0,79,1303,254,0,4400,78.67,10648
577,0,0,533,4241,0,77,633,269,0,4443,78.46,10773
562,0,60,523,4240,0,74,510,266,0,4419,78.1,10654
575,0,190,520,2362,0,76,497,263,0,3976,70.98,8459
578,0,300,506,1022,0,74,466,263,0,3299,62.14,6508
525,0,753,711,1549,0,71,26,274,0,4256,60.35,8165
515,0,896,680,1001,0,71,25,268,0,4802,54.98,8258
510,0,1176,681,954,0,70,25,273,0,5261,53.36,8950
500,0,1799,670,726,0,63,25,269,0,5647,52.62,9699
503,0,2226,666,780,0,63,25,264,0,5907,49.17,10434
499,0,2285,647,529,0,64,25,262,0,6487,47.97,10798
501,0,2289,645,521,0,64,23,256,0,7036,49.1,11335
496,0,2324,647,599,0,61,35,250,0,7397,49.91,11809
495,0,2497,624,532,0,62,394,259,0,8140,51.53,13003
516,0,2946,562,787,0,63,1228,259,0,9148,55.87,15509
547,0,2892,603,714,0,61,2045,258,0,9866,55.81,16986
539,0,2570,590,564,0,62,2423,255,0,10448,54.7,17451
554,0,2604,593,863,0,63,2437,259,0,10819,52.89,18192
550,0,2204,652,773,0,62,2022,259,0,11383,54.58,17905
546,0,1879,640,681,0,60,1630,256,0,11916,54.82,17608
542,0,1965,635,788,0,62,1334,255,0,12171,52.08,17752
544,0,1934,633,1009,0,60,860,251,0,12258,52.05,17549
553,0,1284,631,909,0,62,254,262,0,12239,55.59,16194
570,0,453,651,1445,0,69,57,270,0,12399,77.6,15914
567,0,140,674,1753,0,69,54,279,0,12793,80.36,16329
559,0,149,665,1741,0,70,55,281,0,12806,82.29,16326
545,0,460,652,1660,0,69,34,272,0,12675,82.47,16367
554,0,673,632,1512,0,68,31,273,0,12677,78.06,16420
537,0,1168,629,759,0,69,31,272,0,12580,70.13,16045
468,0,290,839,2221,0,67,44,234,0,1661,60.81,5824
444,0,499,772,1075,0,66,42,231,0,1436,58.27,4565
425,0,686,742,692,0,65,42,229,0,1350,53.65,4231
446,0,771,673,459,0,66,42,227,0,1386,51.95,4070
463,0,854,666,471,0,66,42,224,0,1349,51.4,4135
467,0,712,695,500,0,67,42,229,0,1286,52.93,3998
470,0,405,770,1177,0,66,42,226,0,1263,58.8,4419
464,0,34,821,3669,0,67,45,224,0,1266,70.52,6590
478,0,2,844,5393,0,66,157,226,0,1237,75.72,8403
484,0,48,868,4942,0,63,1104,219,0,1205,81.92,8933
483,0,311,857,4414,0,61,2190,228,0,1196,85.63,9740
479,0,417,849,3815,0,66,3012,229,0,1146,86.76,10013
479,0,417,842,3429,0,70,3262,231,0,1170,82.78,9900
479,0,247,827,3114,0,70,3208,231,0,1210,76.7,9386
474,0,2,832,2553,0,68,3027,227,0,1034,74.35,8217
474,0,2,831,2572,0,68,2630,229,0,924,73.6,7730
482,0,2,839,2985,0,69,1615,229,0,905,74.74,7126
483,0,1,849,4305,0,70,422,231,0,1091,76.34,7452
488,0,1,871,5946,0,77,86,234,0,1110,84.23,8813
488,0,2,872,5661,0,76,63,235,0,1051,87.72,8448
488,0,2,883,5548,0,76,56,234,0,1175,86.54,8462
491,0,2,873,4841,0,76,44,235,0,1430,81.3,7992
489,0,2,837,4022,0,74,42,234,0,1631,69.06,7331
487,0,38,822,2357,0,75,42,235,0,1729,62.43,5785
514,0,632,821,1152,0,65,32,268,0,8027,55.61,11511
516,0,1460,779,748,0,63,32,267,0,7668,52.54,11533
519,0,2013,771,502,0,65,32,269,0,7337,50.97,11508
515,0,2479,756,493,0,65,32,270,0,6970,49.57,11580
515,0,2608,740,584,0,63,32,271,0,6966,48.74,11779
515,0,2466,745,586,0,65,32,269,0,6890,49.56,11568
520,0,1181,754,792,0,65,32,269,0,6853,53.96,10466
518,0,134,794,1918,0,63,37,269,0,6849,65.89,10582
520,0,0,956,3437,0,64,56,267,0,6964,73.97,12264
527,0,1,977,4103,0,64,516,261,0,6922,78.25,13371
526,0,0,930,4118,0,63,1475,268,0,6320,83.44,13700
502,0,47,936,4358,0,64,2284,267,0,5670,81.74,14128
505,0,1,935,3403,0,69,2857,270,0,5901,78.22,13941
517,0,0,947,2513,0,76,3217,271,0,6300,74.18,13841
517,0,2,926,1298,0,75,3253,266,0,6635,69.45,12972
519,0,0,938,1290,0,76,3084,264,0,6481,69.58,12652
533,0,81,959,1538,0,76,2475,268,0,6184,72.97,12114
538,0,1,1013,2660,0,77,1187,271,0,5758,75.59,11505
535,0,0,1072,4544,0,76,303,263,0,5607,86.26,12400
548,0,0,1077,5834,0,81,98,266,0,5656,88.57,13560
548,0,0,1130,5939,0,79,80,275,0,5789,87.32,13840
546,0,0,1154,5030,0,78,44,275,0,5689,80.78,12816
537,0,0,1084,2885,0,75,44,271,0,5676,77.41,10572
532,0,90,1048,1883,0,76,35,270,0,5925,67,9859
528,0,771,985,1290,0,71,28,270,0,6174,60.23,10117
531,0,964,841,539,0,71,28,269,0,6637,54.69,9880
535,0,1264,829,517,0,72,27,269,0,6808,53.88,10321
530,0,1868,832,601,0,71,27,269,0,6744,53.19,10942
524,0,1966,827,602,0,71,27,260,0,6780,52.57,11057
524,0,1922,824,805,0,72,27,257,0,6224,57.13,10655
532,0,935,840,1226,0,71,27,255,0,5424,70.06,9310
540,0,8,905,3538,0,70,32,269,0,4958,76.53,10320
539,0,0,1021,5459,0,71,39,276,0,4773,83.97,12178
535,0,1,991,5677,0,70,411,282,0,4645,92.24,12612
507,0,0,1034,5342,0,70,1258,283,0,4425,97.95,12919
530,0,0,1020,5628,0,72,1960,284,0,4302,94.52,13796
534,0,0,1085,4730,0,75,2480,276,0,4677,86.31,13857
533,0,1,1031,4199,0,73,2688,272,0,5121,79.91,13918
528,0,0,1100,2791,0,71,2683,272,0,5330,76.06,12775
516,0,0,1065,2188,0,73,2420,271,0,5528,75.64,12061
518,0,0,1082,2937,0,76,2003,265,0,5518,77.09,12399
525,0,0,1068,3782,0,76,905,264,0,5440,79.62,12060
531,0,0,1100,4836,0,75,213,255,0,5806,88.06,12816
531,0,0,1090,5574,0,80,112,254,0,6321,88.75,13962
540,0,0,1084,5207,0,80,79,265,0,6901,86.91,14156
527,0,0,1081,3599,0,80,32,265,0,7571,79.91,13155
504,0,0,1028,3038,0,79,31,265,0,7913,70.11,12858
501,0,33,1011,1374,0,78,31,261,0,8204,59.27,11493
499,0,878,924,972,0,72,31,263,0,8374,49.14,12013
494,0,2130,795,993,0,72,31,257,0,8407,45.38,13179
464,0,2655,798,694,0,72,31,257,0,8338,43.68,13309
464,0,3060,821,604,0,73,31,257,0,8323,42.49,13633
463,0,3124,824,555,0,71,31,263,0,8080,40.7,13411
465,0,2926,819,520,0,68,31,264,0,7901,41.48,12994
496,0,1776,819,730,0,70,31,261,0,8032,46.24,12215
493,0,260,861,1230,0,70,33,261,0,8288,56.67,11496
505,0,0,894,2650,0,70,50,263,0,8799,69.9,13231
501,0,0,935,3255,0,71,562,242,0,9263,76.22,14829
485,0,1,955,3233,0,72,1336,246,0,9169,79.18,15497
487,0,0,988,2520,0,75,1984,242,0,9300,77.66,15596
483,0,79,1006,1811,0,73,2287,260,0,9645,70.25,15644
484,0,1,1112,1621,0,74,2274,257,0,9606,57.96,15429
488,0,190,1007,1335,0,74,2062,266,0,9890,54.4,15312
496,0,266,1128,1256,0,72,1593,266,0,10212,53.87,15289
469,0,195,1038,1482,0,74,939,269,0,10274,57.8,14740
441,0,3,1127,2018,0,73,287,270,0,10112,65.77,14331
488,0,0,1197,3590,0,75,67,273,0,10081,78.95,15771
513,0,0,1267,4371,0,79,62,265,0,10678,80.36,17235
518,0,0,1272,4037,0,77,61,269,0,11114,79.38,17348
528,0,1,1250,2885,0,80,59,269,0,11935,70.31,17007
474,0,166,1189,2063,0,76,59,261,0,12091,56.77,16379
462,0,971,1085,1609,0,75,59,252,0,11295,53.49,15808
508,0,1748,1085,1126,0,72,59,244,0,10525,45.92,15367
464,0,2709,1071,788,0,72,59,241,0,9822,43.7,15226
480,0,3132,1065,644,0,73,59,248,0,9202,42.91,14903
478,0,3180,1074,656,0,69,59,251,0,8451,42.15,14218
478,0,3358,1072,518,0,69,59,261,0,8754,42.73,14569
499,0,3224,1044,579,0,71,59,261,0,8971,45.02,14708
497,0,1859,1091,962,0,71,59,262,0,8614,50.41,13415
508,0,402,1130,1312,0,73,59,267,0,8693,66.58,12444
523,0,1,1178,2277,0,69,40,269,0,9101,78.3,13458
527,0,2,1220,3213,0,69,352,268,0,9430,85.84,15081
520,0,96,1233,4058,0,69,1229,272,0,9482,89.11,16959
478,0,110,1229,3225,0,75,1855,265,0,10147,85.59,17384
461,0,220,1155,2340,0,76,2270,254,0,11129,78.55,17905
469,0,564,1077,1837,0,75,2466,261,0,12417,71.22,19166
493,0,964,1054,1060,0,76,2388,266,0,13423,61.29,19724
498,0,1483,1070,1248,0,78,2126,265,0,13229,59.4,19997
495,0,1033,1128,1256,0,77,1652,257,0,12153,66.69,18051
501,0,67,1189,1668,0,74,773,252,0,11248,71.61,15772
500,0,0,1215,3058,0,77,222,260,0,9878,82.21,15210
498,0,0,1226,4489,0,80,99,270,0,9563,84.46,16225
499,0,0,1229,4178,0,82,88,271,0,9971,82.09,16318
499,0,0,1234,3883,0,77,75,266,0,9614,76,15648
481,0,1,1181,2734,0,79,75,267,0,9612,68.82,14430
457,0,26,1128,1516,0,77,75,268,0,9578,58.81,13125
461,0,715,1076,914,0,74,75,264,0,9550,50.65,13129
433,0,2145,1056,781,0,73,74,261,0,9273,47.98,14096
417,0,2932,1042,743,0,74,57,260,0,8637,46.67,14162
405,0,2974,976,726,0,75,38,266,0,8014,46.66,13474
408,0,2976,977,624,0,72,38,260,0,7669,45.48,13024
441,0,2867,926,765,0,71,38,265,0,7110,46.52,12483
472,0,2060,925,720,0,73,37,258,0,6581,47.61,11126
486,0,736,939,909,0,74,37,257,0,6513,51.97,9951
497,0,27,1041,1532,0,73,62,259,0,6259,58.88,9750
487,0,0,1171,3067,0,76,771,264,0,5823,68.81,11659
503,0,0,1191,3786,0,78,1914,270,0,5356,73.52,13098
514,0,0,1188,3700,0,77,2804,272,0,5293,73.67,13848
536,0,0,1149,3054,0,76,3408,268,0,5581,71.88,14072
524,0,0,1118,2315,0,75,3584,264,0,6038,68.06,13918
513,0,0,1105,1578,0,75,3496,268,0,6474,58.83,13509
523,0,57,1106,1101,0,75,3203,262,0,6520,51.47,12847
522,0,175,1101,1051,0,75,2515,263,0,6174,51,11876
517,0,4,1110,1794,0,76,1121,263,0,5629,55.19,10514
516,0,1,1150,4379,0,78,233,260,0,5449,72.1,12066
529,0,0,1181,5560,0,75,89,260,0,5808,75.99,13502
532,0,0,1195,5485,0,78,79,263,0,6118,74,13750
525,0,0,1189,5214,0,75,71,265,0,6198,70.78,13537
523,0,0,1151,4354,0,75,70,264,0,6120,57.88,12557
508,0,63,1114,2477,0,75,70,263,0,6361,53.7,10931
504,0,821,1022,997,0,76,70,258,0,6439,54.28,10187
477,0,2241,981,866,0,75,61,257,0,6574,50.61,11532
466,0,2778,915,674,0,66,54,257,0,6716,44.42,11926
458,0,3017,905,598,0,70,54,257,0,6682,41.89,12041
462,0,3289,917,666,0,68,54,258,0,6429,40.46,12143
465,0,3137,930,646,0,69,54,259,0,6512,41.77,12072
464,0,3073,921,616,0,70,54,258,0,6441,42.1,11897
478,0,2491,980,715,0,76,55,261,0,6324,45.21,11380
488,0,2300,950,836,0,76,74,260,0,6024,47.87,11008
502,0,1221,1090,1027,0,77,360,262,0,5478,53.03,10017
519,0,4,1112,1435,0,75,717,264,0,4966,56.4,9092
504,0,1,1086,2440,0,72,817,265,0,4931,64.8,10116
513,0,1,1112,3218,0,69,827,271,0,4996,62.38,11007
521,0,1,1099,4070,0,71,824,272,0,4839,66.25,11697
524,0,1,1099,4740,0,71,669,270,0,4725,66.2,12099
516,0,1,1090,3034,0,74,481,270,0,5252,60.23,10718
513,0,1,1082,2100,0,75,262,265,0,6269,59.38,10567
506,0,72,1092,1591,0,73,103,254,0,6914,58.14,10605
514,0,3,1163,2649,0,76,69,259,0,7114,69.59,11847
515,0,0,1210,4250,0,77,69,267,0,6679,74.81,13067
514,0,0,1255,4882,0,77,67,268,0,6432,74.28,13495
518,0,0,1285,4986,0,76,65,271,0,6030,73.59,13231
520,0,0,1276,4552,0,72,65,271,0,5268,68.64,12024
507,0,48,1216,3077,0,71,65,269,0,4804,59.72,10057
498,0,1102,1109,1288,0,69,65,268,0,4673,54.84,9072
502,0,1834,997,906,0,70,65,263,0,4767,49.19,9404
471,0,2645,991,636,0,69,65,261,0,4783,46.43,9921
467,0,2937,989,491,0,64,65,262,0,5071,42.18,10346
473,0,3056,967,417,0,63,65,261,0,6077,40.08,11379
472,0,3063,977,518,0,62,66,260,0,7103,44.03,12521
503,0,2025,1005,914,0,66,74,261,0,7802,50.25,12650
